province,year,spending_budgetfund,spending_socialsafety,revenue_all,spending_all,spending_centralbond_reissuance,revenue_vehicleoper_tax,revenue_cityconstrtax,revenue_landuse_tax,spending_normalbond_balance,revenue_normalbond_lastyear,spending_debtservice,revenue_debt_onbook,spending_fund_transfer,revenue_budgetfund_transfer,revenue_fund_transfer,revenue_allnontax,spending_foreign,spending_grain,revenue_penalty,revenue_house_tax,revenue_incometax_ind,revenue_agriland_tax,revenue_capitalincome,revenue_lease,revenue_centralbond_reissue,spending_centralbond_balance,revenue_centralbond_lastyear,计划单列市上解省支出,接受其他地区援助收入,spending_health,revenue_donation,spending_RD,total_residual,spending_debtinterest,spending_debt_admin,spending_others,spending_culture,revenue_other_nontax,revenue_other_tax,revenue_incometax_corp,revenue_deed_tax,spending_defense,spending_central_transfer,revenue_residual_lastyear,省补助计划单列市收入,spending_environment,spending_landmanage,spending_agricultureland,spending_housesecure,spending_financialregulation,spending_donation,spending_transportation,spending_regulation,spending_commerce,spending_urbanaffairs,total_balance,spending_security,revenue_landappr_tax,spending_education,revenue_adminfee,revenue_tobacco_tax,revenue_alltax,spending_publicservice,revenue_stamp_tax,revenue_business_tax,spending_specialdonation,spending_budgetbuffer,revenue_vat,revenue_housefund,支出总计,revenue_central_transfer,revenue_specialprogram,revenue_resourcetax,en_province,revenue_vehiclepurch_tax
湖北省,2015,588.12,858.7,3005.53,6132.84,NA,17.97,138.62,50.33,NA,NA,996.61,1149.66,0.6,70.5,248.28,919.03,NA,44.12,94.4,53.14,78.53,116.42,26.04,213.76,NA,1.4,1.4,NA,NA,515.25,NA,157.36,559.59,24.31,1.21,71.24,84.03,59.05,NA,276.78,153.5,4.25,43.68,1185.33,NA,145.84,61.24,616.57,204.78,10.51,6.28,452.05,451.36,52.17,545.16,8331.81,295.24,187.76,913.05,329.03,4.02,2086.5,618.14,27.97,678.3,NA,8.98,285.48,NA,8331.81,2671.12,196.76,17.69,Hubei,NA
湖北省,2016,488.79,978.82,3102.06,6422.98,NA,21.31,143.48,52.53,NA,NA,1321.35,1520.73,NA,442.16,322.97,979.13,NA,40.6,89.7,59.7,92.98,115.6,39.21,237.7,NA,1.4,1.4,NA,NA,588.9,4.21,190.11,514.79,65.42,1.43,40.84,96.61,61.49,NA,299.12,149.64,3.55,43.74,559.59,NA,145.64,48.77,704.59,240.64,4.13,5.73,391.79,209.94,37.28,588.47,8798.14,352.73,201.55,1047.37,321.96,4.17,2122.93,639.6,29.73,374.23,NA,5.09,563.33,29.55,8798.14,2849.23,195.3,15.56,Hubei,NA
湖南省,2014,111.87,661.97,2262.79,5017.38,NA,13.73,115.15,35.17,NA,NA,44,186,3.97,21.14,43.24,824.27,NA,35.97,81.22,40.08,56.56,75.72,15.97,325.29,NA,NA,NA,NA,NA,422.4,NA,59.38,478.8,27.9,NA,41.45,80.01,156.07,NA,155.01,148.46,13.05,29.11,527.49,NA,137.49,65.72,557.59,208.13,5.76,3.7,322.16,159.69,44.43,463.96,5685.19,246.11,76.75,833.27,184.2,10.1,1438.52,627.24,18.16,470.94,0.06,NA,212.22,NA,5685.19,2644.53,61.53,10.47,Hunan,NA
湖南省,2015,191.46,781.79,2515.43,5728.72,NA,16.68,119.15,53.59,58.41,NA,1178.97,1375,0.51,85.15,164.05,987.91,NA,34.06,76.86,44.02,62.9,59.83,14.39,363.8,NA,NA,NA,NA,NA,493.74,NA,66.26,356.61,36.1,1.46,42.81,111.74,190.61,NA,169.53,184.76,11.7,34.81,478.8,NA,149,74.44,676.24,277.26,8.83,4.62,318.93,190.78,63.47,551.26,7549.33,271.54,84.2,928.54,154.32,9.8,1527.52,634.17,19.01,475.18,NA,0.15,218.63,NA,7549.33,2930.9,187.93,10.23,Hunan,NA
湖南省,2016,228.18,874.41,2697.88,6339.16,NA,18.98,119.18,58.89,57.21,58.41,1471.1,1869,NA,182.45,166.13,1146.56,NA,41.87,80.7,46.07,74.62,63.36,18.98,469,NA,NA,NA,NA,NA,546.27,2.54,71.44,337.67,73.78,1.87,45.21,140.68,223.24,NA,172.31,178.58,11.01,31.85,356.61,NA,170.85,64.56,729.75,305.21,4.47,4.13,325.01,188.45,57.75,640.66,8465.18,333.45,96.48,1032.37,150.26,9.36,1551.33,675.95,19.32,252.71,NA,NA,432.62,30,8465.18,3134.69,171.84,8.86,Hunan,NA
吉林省,2014,47.1,390.2,1203.38,2913.25,0.09,11.13,59.67,33.07,NA,NA,31,121,7.83,17.51,52.26,318.98,NA,55.28,34.57,23.96,34.92,56.98,24.03,112.96,NA,0.29,0.38,NA,NA,206.44,NA,36.45,212.44,60.12,NA,15.66,61.16,13.41,0.01,143.22,78,5.18,5.16,220.33,NA,140.3,29.77,308.68,137.3,18.62,2.59,229.11,99.58,28.3,273.29,3217.2,154.63,48.47,407.1,86.37,1.13,884.4,253.5,11.88,228.78,0.05,NA,139.78,NA,3217.2,1602.35,47.63,13.39,Jilin,NA
吉林省,2015,146.42,462.28,1229.35,3217.1,NA,13.08,63.13,30.6,NA,NA,420.98,549.54,NA,47.1,258.51,362.23,NA,49.29,31.33,27.61,34.11,63.21,28.02,122.1,NA,0.29,0.29,NA,NA,245.81,NA,41.39,244.64,23.71,0.58,23.31,73.01,8.88,0.08,134.92,66.35,5.39,4.98,212.44,NA,117.7,38.7,408.61,135.91,5.54,2.67,191.83,127.26,28.68,341.86,4032.99,168.87,36.15,477.57,77.79,0.93,867.12,247.13,10.46,242.05,NA,1.42,134.43,NA,4032.99,1735.76,94.11,10,Jilin,NA
吉林省,2016,153.87,497.59,1263.78,3586.09,0.28,14.73,67.66,28.69,NA,NA,387.84,637.59,NA,128.85,179.75,390.81,NA,49.46,28.7,27.31,41.72,61.11,35.83,131.64,NA,0.01,0.29,NA,NA,273.63,2.42,41.01,227.45,41.58,0.7,7.45,72.03,8.42,0.08,134.01,65.36,4.35,4.9,244.64,NA,122.14,45.61,550.5,136.45,34.25,2.43,202.05,125.81,30.01,383.35,4359.87,205.08,34.14,499.7,83.77,0.76,872.97,260.91,10.76,111.44,NA,-0.58,267.88,7.11,4359.87,1904.98,92.92,7.31,Jilin,NA
江苏省,2014,148.88,709.59,7233.14,8472.45,0.04,36.91,376.15,176.06,NA,NA,44,174,0.27,15.67,120.82,1227.1,NA,33.53,120.63,228.73,306.33,34.74,242.34,186.63,NA,0.4,0.44,NA,NA,560.93,NA,327.1,766.55,18.52,140.11,NA,190.86,41.64,NA,821.04,401.69,22,197.59,754.2,NA,237.78,65.01,899.31,189.53,14.84,26.93,496.93,364.33,118.11,1221.64,9637.71,473.83,444.89,1504.86,426.52,NA,6006.05,856.7,81.97,2084.66,0.12,7.41,987.54,NA,9637.71,1339.45,209.33,25.33,Jiangsu,NA
江苏省,2015,599.29,838.06,8028.59,9687.58,NA,41.74,421.46,180.06,NA,NA,2031.32,2230.69,5.47,174.57,574.96,1418.47,NA,25.97,131.66,248.01,360.89,31.76,NA,365.17,NA,0.4,0.4,NA,NA,649.31,NA,371.96,664.88,22.21,2.38,107.17,196.06,67.99,NA,917.58,370.11,18.1,205.69,766.55,NA,308.45,64.56,1008.6,247.18,18.05,29.7,547.81,448.45,136.15,1535.59,13198.26,519.92,437.01,1746.22,390.01,NA,6610.12,845.68,85.27,2442.82,0.05,3.57,1046.92,NA,13198.26,1422.5,463.64,26.48,Jiangsu,NA
江苏省,2016,747.56,897.93,8121.23,9981.96,NA,47.11,433.98,185.12,NA,NA,2019.73,2331.22,3.93,363.43,640.09,1589.4,NA,31.51,132.52,256.6,382.37,26.63,NA,440.71,NA,0.4,0.4,NA,0.1,712.77,2.91,381.02,769.01,95.38,2.56,67.15,193.28,82.02,NA,978.81,335.4,14.61,210.34,664.88,NA,285.11,73.49,985.62,269.43,26.95,33.59,511.81,437.26,123.74,1440.12,13736.24,634.76,480.58,1842.94,410.47,NA,6531.83,920.93,87.94,1325.14,NA,3.3,1974.58,36.35,13736.24,1614.89,484.42,17.56,Jiangsu,NA
江西省,2014,119.51,422.35,1881.83,3882.7,NA,9.71,66.26,40.62,NA,NA,35,143,0.11,0.25,126.42,500.7,NA,23.67,73.18,27.71,35.94,76.83,2.61,145.39,NA,0.31,0.31,NA,NA,338.45,NA,58.37,592.83,32.05,NA,94.41,60.03,32.58,NA,152.47,130.62,6.53,12.41,676.15,NA,68.13,33.5,500.15,197.11,4.32,1,289.46,244.38,32.94,226.81,4645.61,175.96,113.84,711.72,179.73,2.8,1381.13,361.36,14.41,443.57,NA,2.75,219.6,NA,4645.61,1817.65,67.21,46.75,Jiangxi,NA
江西省,2015,139.5,510.18,2165.74,4412.55,NA,11.78,70.86,44.12,NA,NA,762.69,942,1.14,20.95,222.63,648.71,NA,17.23,69.96,34.29,42.41,86.3,3.21,212.39,NA,0.31,0.31,NA,NA,398.79,NA,74.79,567.11,20.45,0.83,70.43,68.9,44.56,0.12,157.21,136.33,7.13,14.08,592.83,NA,87.43,36.84,557.3,241.38,10.22,1,247.18,275.79,55.7,331.44,5897.91,195.44,128.84,793.27,190.5,2.55,1517.03,410.83,15.2,498.44,NA,0.53,240.63,NA,5897.91,1953.46,128.09,47.97,Jiangxi,NA
江西省,2016,108.8,582.24,2151.47,4617.4,NA,13.23,76.86,46.26,14.17,NA,450.63,647.74,NA,103.9,190.72,680.37,NA,22.18,66.34,34.37,49.79,86.04,4.19,256.41,NA,0.31,0.31,NA,NA,438.72,0.94,83.12,600.06,48.66,0.9,61.57,70.49,42.62,0.03,166.26,140.29,5.87,12.56,567.11,NA,117.88,28.4,580.9,171.65,4.07,3,223.49,258.33,41.22,380.12,5807.13,229.14,118.75,848.88,181.65,2.95,1471.1,416.6,17.96,282.88,NA,3.21,378.81,7.44,5807.13,2145.89,120.78,56.62,Jiangxi,NA
辽宁省,2014,271.85,895.91,3192.78,5080.49,NA,26.31,118.22,248.05,1.07,NA,30,125,11.71,175.68,120.14,862.21,NA,33.21,69.63,82.2,70.28,203.89,199.73,257.46,NA,NA,1.07,NA,0.01,273.61,NA,108.82,470.56,41.35,NA,88.98,92.6,47.39,0.4,252.1,163.84,11.97,85.97,555.79,NA,106.1,72.92,443.85,174.33,3.89,11.45,310.89,225.32,59.34,849.5,5951.7,235.67,177.57,604.49,182.46,1.47,2330.57,436.29,30.53,562.24,0.05,NA,291.33,NA,5951.7,1781.23,105.53,102.14,Liaoning,NA
辽宁省,2015,496.55,995.1,2127.39,4481.61,NA,28.81,117.56,125.41,38.62,NA,1594.05,1709.07,1.62,279.57,492.11,476.94,NA,21.32,76.64,82.37,72.43,15.07,22.99,87.45,NA,1.07,1.07,NA,NA,281.96,NA,68.92,309.68,59.25,1.44,31.88,88.59,16.01,0.19,235.26,105.05,7.9,82.14,470.56,NA,116.79,54.72,446.07,136.93,12.37,10.4,269.98,114.42,45.76,494.34,7004.76,256.72,46.14,610.24,112.81,1.08,1650.45,356.51,25.98,471.3,0.02,0.59,286.17,NA,7004.76,1924.99,161.04,37.63,Liaoning,NA
辽宁省,2016,473.33,1145.49,2200.49,4577.47,0.97,31.28,124.28,125.2,1.11,38.62,1854.82,1909.65,8.44,460.37,281.56,513.04,NA,23.97,77.94,84.1,76.68,14.97,19.03,85.18,NA,0.1,1.07,NA,NA,307.31,1.47,61.61,336.11,100.23,2.23,33.26,84.7,16.06,0.16,238.68,100.25,8.17,75.1,309.68,NA,87.23,38.78,480.73,154.4,28.1,10.53,188.37,94.34,33.24,392.74,7326.68,297.15,60.08,633.95,131.8,0.92,1687.45,370.92,27.51,238.91,NA,-0.76,534.57,28.66,7326.68,2125.24,152.91,29.85,Liaoning,NA
内蒙古自治区,2014,50.19,531.76,1843.67,3879.98,NA,14.13,61.05,86.74,NA,NA,29,125,NA,73.89,71.19,592.6,0.02,76.23,41.54,38.39,40.2,201.21,103.86,102.46,NA,0.07,0.07,NA,NA,227.78,NA,32.87,351.85,21.72,NA,72.84,91.9,15.66,NA,109.64,45.85,4.77,8.31,326.4,NA,142.75,89.19,517.69,157.61,3.21,0.78,292.72,92.09,27.96,540.3,4319.5,180.45,51.29,477.77,166.57,0.27,1251.07,297.55,16.6,339.01,0.1,NA,174.02,NA,4319.5,1879.28,162.51,72.69,Inner Mongolia,NA
内蒙古自治区,2015,98.96,605.26,1964.48,4252.96,NA,15.76,57.73,93.2,115.3,NA,850.35,1099.26,1.34,30.14,111.74,643.74,0.03,20.07,38.87,42.87,44.62,282.44,78.07,189.41,NA,0.07,0.07,NA,NA,257.15,NA,35.72,364.35,24.53,1.02,72.01,95.81,15.96,NA,101.77,36.6,5.4,9.2,351.85,NA,175.25,81.94,675.58,190.36,13.16,0.25,292.78,76.63,45.79,560.2,5693.04,188.37,39.89,536.53,123.25,0.24,1320.75,299.14,14.85,317.89,NA,0.5,167.58,NA,5693.04,2135.49,198.17,105.3,Inner Mongolia,NA
内蒙古自治区,2016,130.38,642.54,2016.43,4512.71,NA,17.36,57.2,122.03,217.83,115.3,1840.68,2181.64,NA,52.71,55.66,680.55,0.03,20.6,41.11,49.2,52.69,262.01,87.35,268.06,NA,0.07,0.07,NA,NA,284.63,2.43,32.38,450.76,66.15,2.02,83.27,89.25,8.54,NA,96.93,48.44,4.04,9.93,364.35,NA,159.39,58.34,729.02,210.71,4.44,0.35,299.43,94.92,37.04,592.33,7162.37,222.17,40.06,554.96,133.59,0.2,1335.88,324.7,15.89,155.42,NA,NA,300.3,17.42,7162.37,2376.21,122.04,118.16,Inner Mongolia,NA
宁夏回族自治区,2014,13.56,116.43,339.86,1000.45,NA,2.92,14.02,10,NA,NA,13,55,0.15,8.8,17.51,89.54,NA,2.83,7.71,8.3,7.46,3.71,0.66,32.07,NA,NA,NA,NA,NA,65.27,NA,11.66,90.34,16.41,NA,15.8,16.02,5.15,NA,28.33,16.03,1,1.28,77.07,NA,34.6,8.39,157.05,81.39,16.12,NA,73,29.78,18.64,104.07,1118.79,47.64,6.15,122.68,21.87,0.04,250.33,61.68,4.36,105.03,0.01,NA,38.56,NA,1118.79,620.54,22.07,5.43,Ningxia,NA
宁夏回族自治区,2015,59.94,146.23,373.45,1138.49,NA,3.3,14.96,9.01,2.84,NA,149.08,218.91,NA,20.53,48.46,117.13,NA,2.67,8.79,9.69,8.97,10.93,3.12,44.96,NA,NA,NA,NA,NA,74.11,NA,17.25,89.24,14.08,0.22,9.53,20.97,3.66,NA,24.56,14.53,1.25,2.66,90.34,NA,45.49,8.12,166.27,72.25,7.11,NA,97.85,28.22,20.08,145.96,1442.23,51.23,6.61,142.51,19.02,0.03,256.31,67.09,4.86,99.83,NA,0.01,35.73,NA,1442.23,690.54,37.58,13.31,Ningxia,NA
宁夏回族自治区,2016,43.6,164.24,387.66,1254.54,NA,3.59,17.25,8.68,16.16,2.84,163.4,264.48,NA,35.44,24.74,141.1,NA,2.91,8.52,10.02,9.85,7.33,1.36,63.62,NA,NA,NA,NA,0.8,82.03,0.38,18.25,68.14,23.01,0.26,8.01,25.23,8.03,NA,24.47,12.84,1.29,2.68,89.24,NA,36.69,8.68,201.29,63.58,18.16,NA,73.03,33.96,21.98,182.14,1548.42,61.43,7.76,152.57,20.91,0.05,246.55,75.79,4.9,45.28,NA,-0.09,84.04,5.23,1548.42,743.23,33.05,10.49,Ningxia,NA
青海省,2014,107.44,148.01,251.68,1347.43,NA,1.88,12.03,3.75,NA,NA,19,107,NA,72.22,118.86,52.28,NA,4.58,4.57,5.37,6.28,4.52,0.81,13.3,NA,NA,NA,NA,0.05,80.13,NA,10.39,56.55,22.86,NA,15.7,34.16,5.26,NA,19.82,7.66,0.71,1.19,51.62,NA,56.73,21.81,190.04,67.73,12.93,0.04,204.7,56.31,13.03,95.04,1531.61,55.63,3.14,156.31,9.09,NA,199.39,100.57,3.02,77.85,NA,NA,30.93,NA,1531.61,930.19,19.26,23.15,Qinghai,NA
青海省,2015,90.44,189.34,267.13,1515.16,NA,2.26,11.83,4.19,NA,NA,187.61,295,NA,135.95,104.36,61.33,NA,7.55,6.88,5.52,5.7,9.24,0.39,14.34,NA,NA,NA,NA,NA,99.43,NA,11.22,32.22,25.93,0.35,19.1,33.6,4.25,0.01,20.23,6.07,1,1.54,56.55,NA,87.36,16.52,204.41,65.25,6,0.09,205.49,55.47,19.06,128.45,1826.89,59.02,3.53,163.19,9.32,NA,205.81,117.33,2.73,89.61,NA,-0.07,22.95,NA,1826.89,967.9,26.15,21.92,Qinghai,NA
青海省,2016,94.75,196.18,238.51,1524.8,NA,2.52,11.59,5.7,NA,NA,251.68,371.2,NA,87.61,94.79,62.03,NA,5.6,5.17,5.67,6.41,5.64,0.23,22.79,NA,NA,NA,NA,NA,103.06,0.31,10.9,32.98,40.75,0.82,7.35,33.31,2.98,NA,17.07,3.68,0.88,1.35,32.88,NA,73.41,16.89,232.35,69.93,6.92,0.05,178.72,49.58,14.6,119.74,1905.54,70.98,3.26,171.36,8.53,NA,176.48,121.42,2.97,50.3,NA,-0.01,46.82,2.1,1905.54,1080.56,19.92,14.84,Qinghai,NA
山东省,2014,206.3,763.53,5026.83,7177.31,NA,46.65,231.33,264.69,NA,NA,36,162,17.16,50.38,151.14,1061.07,NA,39.61,121.45,122.49,115.18,255.42,55.69,381.95,NA,0.14,0.14,NA,NA,605.67,NA,147.06,445.25,53.45,NA,82.2,127.75,46.25,NA,483.01,273.67,15.47,72.04,543.8,NA,166.67,100.39,772.84,181.15,11.89,15.49,399.14,255.98,94.13,777.92,7955.44,380.57,257.74,1461.05,302.2,2.58,3965.76,725.33,60.56,1135.92,0.12,1.12,596.96,NA,7955.44,2021.16,153.52,119.57,Shandong,NA
山东省,2015,349.22,904.64,5529.33,8250.01,NA,53.31,243.71,358.75,NA,NA,1633.17,1827.85,3.06,185.9,438.7,1326.21,NA,31.38,123.86,133.86,143.12,251.52,54.18,469.42,NA,0.14,0.14,NA,NA,701.43,NA,159.05,322.53,43.39,1.67,64.71,137.26,45.12,NA,498.72,247.76,14.96,73.96,445.35,NA,217.08,110.88,964.42,204.14,48.74,17.59,460.69,276.06,116.88,920.57,10636.36,425.75,259.51,1690.62,296.74,2.26,4203.12,738.11,59.41,1252.4,0.05,4.21,594.98,NA,10636.36,2209.1,336.88,103.81,Shandong,NA
山东省,2016,362.54,992.66,5860.18,8755.21,NA,61,250.83,393.74,NA,NA,2032.45,2314.12,2.85,318.89,332.89,1647.59,NA,33.74,156.12,143.36,143.15,217.3,57.61,663.29,NA,0.14,0.14,NA,NA,790.19,16.15,167,352.4,101.43,2.12,48.2,137.47,60.69,NA,503.24,267.63,13.13,71.66,322.53,NA,239.28,107.39,943.44,248.74,43.17,18.04,372.84,239.05,113.79,1012.46,11577.33,521.52,293.15,1825.99,328.25,2.55,4212.59,783.56,61.26,650.45,0.08,NA,1129.75,43.24,11577.33,2428.58,322.24,95.18,Shandong,NA
山西省,2014,155.72,450.72,1820.64,3085.28,NA,14.22,67.26,40.4,NA,NA,26,105,4.32,18.94,60.15,686.29,NA,19.07,60.94,34.29,47.2,20.3,25.15,34.16,NA,NA,NA,NA,NA,243.94,NA,54.26,385.49,9.3,NA,38.13,63.95,24.27,NA,167.38,46.82,5.44,24.69,388.97,NA,95.26,319.71,327.85,93.38,2.91,2.37,170.35,49.6,13.95,219.05,3691.03,160.8,30.92,507.28,97.56,0.23,1134.34,237.94,22.25,345.82,NA,9.52,238.33,NA,3691.03,1297.33,444.21,58.9,Shanxi,NA
山西省,2015,226.11,533.45,1642.35,3422.97,NA,15.77,56.39,36.02,1.35,NA,271.15,402.92,0.11,126.1,248.99,585.75,NA,20.69,50.08,35.2,36.25,11.43,1.93,53.34,NA,NA,NA,NA,NA,290.71,NA,37.47,276.87,16.61,0.47,37.19,73.08,17.5,NA,143.05,30.1,5.34,27.68,385.49,NA,99.46,222.95,394.46,126.61,5.61,2.68,208.84,54.42,15.31,255.47,4225.7,173.79,29.57,602.85,76.36,0.25,1056.6,245.51,18.44,299.81,NA,0.54,201.14,NA,4225.7,1419.84,386.54,143.18,Shanxi,NA
山西省,2016,232.76,542.28,1557,3428.86,NA,18.56,56.39,34.18,0.56,1.35,428.98,566.7,NA,237.15,138.56,520.33,NA,17.88,48.17,33.31,35.18,11.75,3.92,201.51,NA,NA,NA,NA,NA,300.86,2.83,34.56,281.12,30.24,0.59,23.94,72.64,17.31,NA,116.55,30.05,4.84,26.12,276.87,NA,115.54,91.18,432.02,148.7,7.95,2.54,193.17,60.55,15.91,256.7,4398.43,203.52,31.62,606.97,75.73,0.29,1036.67,266.28,17.42,161.56,NA,0.03,349.45,21.41,4398.43,1620.8,149.46,140.34,Shanxi,NA
陕西省,2014,67.55,541.4,1890.4,3962.5,NA,13.73,86.93,28.07,NA,NA,34,137,NA,74.71,103.91,554.72,NA,17.35,36.21,37.61,46.87,78.72,44.56,126.81,NA,0.04,0.04,NA,NA,313.45,NA,44.86,189.35,21.32,NA,32.23,93.23,77.25,NA,156.53,80.27,3.9,10.95,167.53,NA,112.51,50.94,445.97,227.89,5.32,0.07,371.49,95.12,33.29,330.57,4265.22,161.43,50.07,693.83,146.48,2.11,1335.68,366.32,19.95,399.28,NA,0.83,250.63,NA,4265.22,1891.63,123.42,84.9,Shannxi,NA
陕西省,2015,175.42,631.99,2059.95,4376.06,NA,15.98,77.61,28.34,80.93,NA,468.17,700.01,NA,122.02,156.63,769.63,NA,19.78,50.21,41.59,53.34,71.55,74.4,177.32,NA,0.04,0.04,NA,NA,369.38,NA,57.28,215.43,17.8,0.7,15.97,103.09,105.2,NA,147.42,68.53,3.25,12.77,189.35,NA,150.77,41.54,520.58,249.1,12.86,0.64,350.89,107.3,44.56,406.01,5328.37,187.07,40.86,758.07,133.81,2.5,1290.33,359.36,19.53,398.44,NA,0.45,233.92,NA,5328.37,2100.37,228.68,90.7,Shannxi,NA
陕西省,2016,148.11,655.47,1833.99,4389.37,NA,17.72,85.71,27.69,NA,80.93,979.6,1183.35,0.3,177.15,138.79,629.6,NA,18.88,39.48,42.84,58.85,54.75,95.64,159.14,NA,0.04,0.04,NA,NA,381.66,1.9,62.01,226.83,47.48,1.13,-38.28,125.85,44.06,NA,130.74,50.81,3.66,11.64,215.43,NA,126.8,35.8,543.3,215.98,4.68,0.99,256.15,107.44,49.03,433.15,5749.16,215.79,34.89,777.53,117.98,2.24,1204.39,364.86,18.42,202.92,NA,-6.71,394.13,14.74,5749.16,2119.48,156.66,82.67,Shannxi,NA
上海市,2014,160.57,498.13,4585.55,4923.44,NA,19.05,177.24,34.69,NA,NA,36,126,28.59,8.33,22.02,366.5,NA,15.41,27.96,99.95,408.61,14.48,-1.08,87.72,NA,0.66,0.66,NA,NA,264.75,NA,262.29,152.72,11.45,NA,617.42,86.38,13.09,0.02,942.46,214.33,6.57,194.34,129.43,NA,77.32,16.43,202.34,119.3,15.2,29.29,157.2,468.2,79.1,801.29,5496.31,250.91,266.18,695.63,114.23,NA,4219.05,248.84,70.99,1001.92,NA,NA,969.14,NA,5496.31,624.33,124.6,NA,Shanghai,NA
上海市,2015,798.01,543.16,5519.5,6191.56,NA,21.1,221.27,37.44,NA,NA,649,801,NA,144.74,722.9,661.34,NA,17.55,30.81,123.81,487.61,7.26,NA,163.35,NA,0.66,0.66,NA,NA,303.46,NA,271.85,102.2,4.31,NA,971.23,108.22,14.92,NA,1104.08,270.99,6.73,203.18,152.72,NA,104.35,47.89,267.37,123.39,17.87,33.36,274.73,539.02,86.85,1173.88,7992.37,269.2,253.31,767.32,127.41,NA,4858.16,259.84,103.01,1215.49,NA,47.77,1012.8,NA,7992.37,650.86,324.86,NA,Shanghai,NA
上海市,2016,731.39,988.81,6406.13,6918.94,NA,19.66,239.49,42.97,NA,NA,862.29,1033,NA,391.91,268.05,780.23,NA,18.07,43.66,170.95,593.08,4.62,NA,216.98,NA,0.66,0.66,NA,NA,383.1,0.14,341.71,191.72,44.15,1.03,59.36,113.34,11.99,NA,1336.89,345.83,9.38,186.81,102.2,NA,134.41,52.19,327.41,230.67,20.4,34.86,403.87,558.64,129.25,1588.04,8891.81,337.18,334.25,840.97,128.38,NA,5625.9,302.09,77.7,845.96,NA,NA,1614.48,1.44,8891.81,689.86,377.64,0.01,Shanghai,NA
四川省,2014,135.64,927.01,3061.07,6796.61,0.02,22.46,126.55,61.11,NA,NA,67,200,11.49,43.14,108.34,748.61,NA,39.88,61.5,65.8,97.2,107.95,40.9,236.83,NA,0.15,0.16,NA,0.2,584.1,NA,81.76,534.07,90.27,NA,236.32,135.65,99.14,0,286.06,211.83,14.59,12.67,633.09,NA,168.69,77.44,826.59,307.62,7.33,4.21,543.83,201.5,69.92,528.13,7557.8,319.19,150.53,1056.91,199.52,10.49,2312.46,575.67,31.69,805.24,0.16,NA,306.45,NA,7557.8,3511.79,110.74,29.1,Sichuan,NA
四川省,2015,404.21,1111.75,3355.44,7497.51,0.02,26.63,126.3,64.64,NA,NA,1038.32,1230,NA,196.62,320.12,1001.93,NA,35.95,65.51,73.91,109.14,121.96,44.95,269.63,NA,0.13,0.15,NA,NA,686.42,NA,96.69,462.99,17.51,1.07,217.8,139.41,132.71,0.02,295.31,213.1,11.9,14.36,534.07,NA,169.31,77.87,926.65,288.9,17.4,5.33,601.14,251.52,82.52,514.08,9416,369.74,149.14,1252.33,184.69,9.87,2353.51,622.22,30.03,780.26,0.08,1.62,324.48,NA,9416,3779.6,304.45,28.72,Sichuan,NA
四川省,2016,250.93,1320.17,3388.85,8008.89,0.02,29.82,137.55,65.1,0.03,NA,1423.73,1626.93,0.52,292.64,291.27,1059.62,NA,33.43,69.76,79.79,128.4,118.36,42.37,362.22,NA,0.12,0.13,NA,0.03,772.24,15.91,101.09,408.23,61.47,1.55,123.35,145.2,114.65,NA,299.48,184.14,16.85,11.11,462.99,NA,166.36,67.65,988.71,312.28,21.79,5.49,569.11,263.8,73.41,550.93,10103.56,429.39,143.98,1301.85,207.98,9.7,2329.23,682.78,32.14,436.3,NA,NA,638.3,36.81,10103.56,4040.71,209.9,26.18,Sichuan,NA
